Pk,Year,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
townska01,2022,194,Karl-Anthony Towns,C,26,MIN,6,222,17.3,0.642,0.275,0.625,5.8,25.7,16.3,10.1,0.8,4.6,20.9,24.9,0.2,0.3,0.5,0.098,0.2,0.2,0.4,0.1
trentga02,2022,195,Gary Trent Jr.,SG,23,TOR,6,199,12.4,0.509,0.476,0.232,0.6,6.2,3.1,6.4,1.6,1.6,3.2,21.8,0.1,-0.1,0.1,0.014,-0.7,-0.7,-1.4,0.0
tuckepj01,2022,196,P.J. Tucker,PF,36,MIA,18,509,12.9,0.612,0.468,0.147,7.8,16.1,11.8,9.2,1.4,1.1,10.1,11.3,0.9,0.7,1.6,0.149,0.4,1.8,2.2,0.5
tuckera01,2022,197,Rayjon Tucker,SG,24,MIL,8,19,1.7,0.333,0.333,0.000,5.6,10.4,8.1,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.035,-7.3,-0.6,-7.8,0.0
valanjo01,2022,198,Jonas Valančiūnas,C,29,NOP,6,175,23.9,0.548,0.088,0.382,20.9,38.3,29.0,16.5,1.2,0.5,13.1,22.5,0.5,0.1,0.6,0.154,4.6,-0.9,3.7,0.3
vandeja01,2022,199,Jarred Vanderbilt,PF,22,MIN,6,129,12.0,0.525,0.000,0.370,10.9,25.4,18.5,4.7,2.5,1.3,13.7,12.1,0.1,0.2,0.3,0.098,-1.8,1.2,-0.5,0.0
vanvlfr01,2022,200,Fred VanVleet,PG,27,TOR,4,140,15.7,0.486,0.667,0.111,1.6,9.7,5.3,27.5,2.6,3.1,6.6,20.1,0.1,0.0,0.2,0.060,2.6,0.9,3.5,0.2
vildolu01,2022,201,Luca Vildoza,PG,26,MIL,7,17,17.9,0.417,0.833,0.000,6.3,5.8,6.0,34.4,5.7,0.0,0.0,15.3,0.0,0.0,0.1,0.210,0.6,5.0,5.5,0.0
vincega01,2022,202,Gabe Vincent,PG,25,MIA,18,423,10.0,0.515,0.618,0.153,0.8,9.2,4.9,20.0,1.7,1.3,15.2,17.4,0.0,0.5,0.6,0.065,-1.7,1.4,-0.3,0.2
vucevni01,2022,203,Nikola Vučević,C,31,CHI,5,181,17.6,0.520,0.462,0.055,7.2,28.9,17.2,16.5,0.5,3.2,7.9,24.5,0.0,0.3,0.3,0.075,3.0,1.0,4.0,0.3
wainris01,2022,204,Ish Wainright,PF,27,PHO,7,26,21.3,0.542,0.500,0.000,33.0,17.7,25.1,5.8,2.0,3.7,20.0,26.5,0.0,0.0,0.0,0.076,7.0,-0.4,6.6,0.1
watanyu01,2022,205,Yuta Watanabe,SF,27,TOR,4,10,-5.7,0.333,0.167,0.000,0.0,0.0,0.0,0.0,0.0,0.0,14.3,32.5,-0.1,0.0,-0.1,-0.419,-11.0,-9.0,-19.9,0.0
whiteco01,2022,206,Coby White,PG,21,CHI,5,98,6.5,0.445,0.644,0.111,0.0,18.9,8.7,15.2,0.5,0.0,11.3,23.8,-0.2,0.1,-0.2,-0.078,-3.2,-1.3,-4.5,-0.1
whitede01,2022,207,Derrick White,SG,27,BOS,23,585,10.1,0.494,0.472,0.290,1.6,11.5,6.7,15.9,1.8,2.0,12.8,17.5,-0.1,0.9,0.8,0.065,-2.0,1.8,-0.1,0.3
whiteha01,2022,208,Hassan Whiteside,C,32,UTA,6,65,16.7,0.400,0.000,0.333,14.4,40.9,27.7,0.0,1.6,15.2,0.0,9.9,0.0,0.2,0.2,0.139,-0.6,2.8,2.2,0.1
wiggian01,2022,209,Andrew Wiggins,SF,26,GSW,22,767,16.0,0.544,0.344,0.213,8.1,15.8,12.1,7.7,1.4,3.0,8.3,20.8,0.8,0.9,1.7,0.108,0.5,0.3,0.8,0.5
willigr01,2022,210,Grant Williams,PF,23,BOS,24,654,9.5,0.599,0.593,0.347,4.1,11.3,7.8,4.4,0.6,2.5,10.4,13.3,0.6,0.8,1.4,0.104,-2.0,1.2,-0.8,0.2
willipa01,2022,211,Patrick Williams,PF,20,CHI,5,153,11.3,0.569,0.447,0.234,3.6,15.0,8.8,4.3,1.6,1.9,11.9,16.9,0.0,0.2,0.2,0.061,-2.3,0.7,-1.6,0.0
williro04,2022,212,Robert Williams,C,24,BOS,17,394,21.7,0.725,0.013,0.359,12.7,17.1,15.0,6.8,1.5,8.8,10.0,11.5,1.3,0.8,2.1,0.254,2.2,3.8,5.9,0.8
willizi02,2022,213,Ziaire Williams,SF,20,MEM,10,168,11.8,0.598,0.692,0.250,2.4,8.0,5.0,4.3,1.4,0.0,3.3,14.6,0.3,0.1,0.4,0.126,-0.9,0.4,-0.6,0.1
wrighde01,2022,214,Delon Wright,SG,29,ATL,5,137,15.9,0.622,0.448,0.310,9.5,11.7,10.6,16.8,1.5,0.7,13.2,12.8,0.3,0.1,0.4,0.130,3.3,1.5,4.8,0.2
youngth01,2022,215,Thaddeus Young,PF,33,TOR,6,87,14.3,0.506,0.389,0.222,9.0,17.2,12.7,16.9,3.0,1.3,13.2,12.1,0.1,0.0,0.1,0.067,-0.6,2.3,1.7,0.1
youngtr01,2022,216,Trae Young,PG,23,ATL,5,186,5.3,0.461,0.551,0.478,3.2,13.2,8.1,27.0,0.8,0.0,27.1,28.3,-0.6,0.1,-0.5,-0.139,-4.0,-4.1,-8.1,-0.3
yurtsom01,2022,217,Omer Yurtseven,C,23,MIA,9,38,25.8,0.647,0.111,0.167,3.0,19.3,10.8,16.6,0.0,2.9,0.0,22.6,0.1,0.0,0.2,0.228,5.1,2.8,8.0,0.1
achiupr01,2021,1,Precious Achiuwa,PF,21,MIA,3,12,8.1,0.608,0.000,1.000,0.0,50.8,24.3,0.0,0.0,15.2,41.0,35.7,-0.1,0.0,-0.1,-0.309,-11.3,2.8,-8.5,0.0
adebaba01,2021,2,Bam Adebayo,C,23,MIA,4,136,14.9,0.494,0.000,0.228,9.6,17.2,13.2,23.8,1.8,1.3,14.9,23.8,-0.1,0.1,0.0,0.011,0.4,0.5,0.9,0.1
alexaty01,2021,3,Ty-Shon Alexander,SG,22,PHO,1,1,79.0,1.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,0.0,0.0,0.0,1.248,23.7,5.9,29.5,0.0
allengr01,2021,4,Grayson Allen,SG,25,MEM,5,116,5.3,0.478,0.636,0.030,2.6,10.4,6.2,1.1,0.8,0.9,2.9,12.5,0.0,-0.1,-0.1,-0.035,-3.7,-2.1,-5.7,-0.1
anderky01,2021,5,Kyle Anderson,PF,27,MEM,5,142,13.7,0.480,0.286,0.095,2.9,17.8,9.7,14.2,4.8,0.0,8.4,14.2,0.0,0.1,0.1,0.042,0.0,2.4,2.4,0.2
antetgi01,2021,6,Giannis Antetokounmpo,PF,26,MIL,21,800,27.6,0.599,0.159,0.469,7.8,28.7,18.0,24.3,1.3,2.9,10.8,31.8,2.0,1.7,3.7,0.224,6.7,3.2,9.9,2.4
antetth01,2021,7,Thanasis Antetokounmpo,SF,28,MIL,13,45,10.0,0.467,0.000,0.857,7.0,17.0,11.9,8.1,5.5,4.1,23.7,12.0,0.0,0.1,0.1,0.116,-7.5,6.4,-1.1,0.0
anthoca01,2021,8,Carmelo Anthony,PF,36,POR,6,143,12.2,0.571,0.617,0.183,1.7,13.4,7.7,9.4,0.7,0.6,9.7,22.7,0.1,0.0,0.1,0.023,0.3,-2.1,-1.8,0.0
arizatr01,2021,9,Trevor Ariza,SF,35,MIA,4,96,4.0,0.413,0.739,0.000,1.9,22.2,11.7,3.2,1.5,1.0,11.5,11.9,-0.2,0.1,-0.1,-0.031,-5.7,1.0,-4.7,-0.1
aytonde01,2021,10,Deandre Ayton,C,22,PHO,22,801,19.5,0.674,0.000,0.226,9.9,25.3,18.1,4.7,1.1,2.8,9.8,16.3,1.9,1.5,3.4,0.203,2.1,0.9,3.0,1.0
azubuud01,2021,11,Udoka Azubuike,C,21,UTA,1,1,12.0,,,,0.0,100.0,58.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.116,2.2,1.8,3.9,0.0
banede01,2021,12,Desmond Bane,SG,22,MEM,5,99,14.2,0.737,0.632,0.000,2.1,18.3,9.5,12.5,1.9,2.2,13.6,9.4,0.2,0.0,0.2,0.093,1.8,1.9,3.7,0.1
barrerj01,2021,13,RJ Barrett,SG,20,NYK,5,162,14.2,0.489,0.418,0.224,2.5,22.3,11.8,16.6,1.3,1.2,2.6,20.7,0.1,0.3,0.3,0.104,0.5,2.6,3.2,0.2
bartowi01,2021,14,Will Barton,SF,30,DEN,3,83,15.7,0.547,0.488,0.093,1.3,17.7,8.8,15.3,1.2,1.1,8.2,25.6,0.0,0.0,0.1,0.030,1.9,0.4,2.3,0.1
batumni01,2021,15,Nicolas Batum,SF,32,LAC,19,555,14.9,0.642,0.661,0.211,4.0,17.7,10.9,9.8,2.2,1.8,4.8,10.5,1.2,0.6,1.8,0.155,2.0,2.2,4.3,0.9
bealbr01,2021,16,Bradley Beal,SG,27,WAS,5,195,17.5,0.540,0.260,0.293,3.2,14.5,8.7,19.3,1.0,1.2,12.6,34.1,-0.1,0.0,0.0,-0.010,3.9,-2.3,1.6,0.2
bertada01,2021,17,Dāvis Bertāns,PF,28,WAS,4,106,8.5,0.615,0.852,0.259,0.0,11.7,5.6,1.3,0.4,1.5,3.2,12.3,0.1,0.0,0.1,0.057,-1.6,-1.1,-2.7,0.0
beverpa01,2021,18,Patrick Beverley,PG,32,LAC,17,323,12.0,0.560,0.544,0.206,4.0,10.6,7.3,10.3,1.9,3.6,5.1,11.3,0.5,0.3,0.8,0.116,-0.4,1.9,1.6,0.3
bjeline01,2021,19,Nemanja Bjelica,PF,32,MIA,2,30,22.1,0.660,0.727,0.545,3.1,13.5,8.1,12.1,3.2,3.0,0.0,20.0,0.1,0.0,0.1,0.221,6.4,3.7,10.1,0.1
blevike01,2021,20,Keljin Blevins,SF,25,POR,2,4,5.8,0.500,0.500,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,-0.070,-9.3,-3.2,-12.5,0.0
bogdabo01,2021,21,Bogdan Bogdanović,SG,28,ATL,18,598,10.9,0.493,0.574,0.068,2.0,11.6,6.8,13.4,2.4,0.7,9.5,21.0,-0.4,0.9,0.5,0.037,-0.1,0.5,0.4,0.4
bogdabo02,2021,22,Bojan Bogdanović,SF,31,UTA,11,390,13.8,0.642,0.555,0.299,1.9,11.7,7.0,6.2,1.3,0.0,12.9,20.2,0.6,0.0,0.5,0.067,1.1,-0.6,0.5,0.2
bolbo01,2021,23,Bol Bol,PF,21,DEN,3,6,5.7,0.000,1.000,0.000,0.0,20.4,9.4,38.8,0.0,0.0,0.0,7.3,0.0,0.0,0.0,-0.042,-0.5,3.3,2.8,0.0
bongais01,2021,24,Isaac Bonga,SF,21,WAS,4,10,-15.3,0.000,0.600,0.000,0.0,0.0,0.0,0.0,0.0,8.1,0.0,20.9,-0.1,0.0,-0.1,-0.497,-13.8,-6.2,-20.0,0.0
bookede01,2021,25,Devin Booker,SG,24,PHO,22,889,16.1,0.558,0.289,0.310,2.0,12.9,7.8,18.3,1.0,0.4,13.1,31.8,0.1,1.1,1.2,0.066,0.7,-1.1,-0.4,0.4
brantja01,2021,26,Jarrell Brantley,PF,24,UTA,2,3,-19.3,0.266,0.000,2.000,0.0,37.2,19.4,0.0,0.0,0.0,34.7,42.5,0.0,0.0,0.0,-0.754,-19.3,-8.8,-28.1,0.0
bridgmi01,2021,27,Mikal Bridges,SF,24,PHO,22,707,12.9,0.603,0.500,0.147,3.3,11.0,7.4,7.1,1.6,2.0,7.3,14.1,0.8,1.0,1.8,0.125,0.8,0.9,1.7,0.7
brookdi01,2021,28,Dillon Brooks,SF,25,MEM,5,175,20.6,0.595,0.206,0.268,2.9,11.0,6.6,9.9,1.9,1.2,7.7,28.3,0.3,0.0,0.3,0.080,2.3,0.3,2.6,0.2
brownbr01,2021,29,Bruce Brown,PG,24,BRK,12,277,14.0,0.552,0.139,0.203,9.6,14.5,12.2,13.0,1.4,1.6,11.3,15.9,0.4,0.4,0.8,0.137,-0.3,1.0,0.7,0.2
brunsja01,2021,30,Jalen Brunson,PG,24,DAL,7,114,15.3,0.563,0.295,0.295,5.8,12.9,9.2,13.7,0.0,0.0,7.4,21.4,0.2,0.0,0.2,0.071,2.2,-2.1,0.1,0.1
bryanel01,2021,31,Elijah Bryant,SG,25,MIL,11,50,7.5,0.350,0.400,0.000,4.2,21.9,12.9,11.0,2.0,1.8,9.1,18.9,-0.1,0.1,0.0,-0.018,-4.6,1.0,-3.6,0.0
bullore01,2021,32,Reggie Bullock,SF,29,NYK,5,162,7.5,0.534,0.744,0.128,3.1,8.3,5.6,5.9,0.9,0.6,8.8,12.4,0.0,0.2,0.2,0.061,-2.4,1.1,-1.2,0.0
burketr01,2021,33,Trey Burke,PG,28,DAL,2,17,-12.6,0.063,0.429,0.286,6.5,0.0,3.4,7.2,0.0,0.0,0.0,21.0,-0.1,0.0,-0.1,-0.417,-11.9,-6.8,-18.7,-0.1
burksal01,2021,34,Alec Burks,SG,29,NYK,5,128,16.0,0.544,0.429,0.339,3.9,17.6,10.3,19.2,0.4,0.0,5.9,23.7,0.2,0.1,0.3,0.120,2.3,1.6,3.9,0.2
butleji01,2021,35,Jimmy Butler,SF,31,MIA,4,154,9.7,0.394,0.234,0.344,3.6,15.8,9.5,30.7,1.6,0.6,10.9,23.6,-0.3,0.1,-0.2,-0.064,-0.9,-0.5,-1.4,0.0
caldwke01,2021,36,Kentavious Caldwell-Pope,SG,27,LAL,5,146,5.9,0.497,0.655,0.172,1.5,9.7,5.4,5.4,1.8,0.0,6.0,10.1,0.0,0.2,0.2,0.057,-4.7,1.1,-3.6,-0.1
campafa01,2021,37,Facundo Campazzo,PG,29,DEN,10,270,12.4,0.565,0.649,0.257,2.7,10.4,6.3,20.2,2.6,1.4,15.4,15.7,0.3,0.1,0.4,0.064,-1.8,1.5,-0.3,0.1
cancavl01,2021,38,Vlatko Čančar,PF,23,DEN,5,21,25.5,1.058,0.333,1.667,0.0,17.5,8.1,6.6,2.4,4.5,16.1,12.8,0.1,0.0,0.1,0.241,6.6,5.4,12.0,0.1
capelca01,2021,39,Clint Capela,C,26,ATL,18,569,15.8,0.591,0.000,0.287,11.8,26.6,19.3,4.5,1.0,2.9,10.5,13.3,0.8,1.0,1.7,0.147,0.8,0.5,1.3,0.5
carteje01,2021,40,Jevon Carter,PG,25,PHO,7,22,6.5,0.338,0.250,0.250,0.0,9.6,5.1,25.4,0.0,0.0,0.0,18.4,0.0,0.0,0.0,-0.041,-3.4,-0.9,-4.2,0.0
carusal01,2021,41,Alex Caruso,PG,26,LAL,6,121,3.0,0.450,0.447,0.053,1.8,5.9,3.7,4.1,0.4,3.2,15.3,16.9,-0.3,0.1,-0.1,-0.055,-5.4,-0.3,-5.7,-0.1
caulewi01,2021,42,Willie Cauley-Stein,C,27,DAL,6,63,14.0,0.727,0.000,0.333,5.3,25.3,14.8,6.6,1.7,6.9,22.5,9.6,0.1,0.1,0.1,0.107,-2.5,3.4,0.8,0.0
chiozch01,2021,43,Chris Chiozza,PG,25,BRK,6,19,0.7,0.357,0.429,0.000,0.0,5.6,2.9,7.2,2.6,0.0,12.5,19.1,-0.1,0.0,0.0,-0.106,-7.5,-0.6,-8.1,0.0
clarkbr01,2021,44,Brandon Clarke,PF,24,MEM,2,9,9.9,0.500,0.000,0.000,0.0,13.4,6.1,0.0,0.0,11.9,0.0,9.4,0.0,0.0,0.0,-0.001,-2.9,0.3,-2.6,0.0
clarkjo01,2021,45,Jordan Clarkson,SG,28,UTA,11,298,14.1,0.547,0.588,0.158,2.4,10.5,6.6,9.5,1.2,0.9,11.5,29.7,0.0,0.0,0.0,-0.003,0.9,-2.4,-1.5,0.0
claxtni01,2021,46,Nic Claxton,C,21,BRK,12,130,13.5,0.495,0.000,0.103,12.4,15.5,14.0,7.4,1.5,8.3,11.7,12.0,0.1,0.3,0.4,0.136,-2.6,2.2,-0.4,0.1
coffeam01,2021,47,Amir Coffey,SG,23,LAC,10,16,18.1,0.788,0.250,0.250,0.0,14.3,7.2,10.0,3.2,0.0,18.4,15.8,0.0,0.0,0.0,0.117,3.1,3.7,6.7,0.0
collijo01,2021,48,John Collins,PF,23,ATL,18,576,15.3,0.632,0.308,0.198,6.9,22.7,14.9,4.4,0.7,1.6,10.4,17.0,0.9,0.8,1.7,0.140,1.1,-0.2,0.9,0.4
conlemi01,2021,49,Mike Conley,PG,33,UTA,6,176,18.5,0.613,0.544,0.235,2.1,11.4,6.9,39.4,0.3,1.5,15.7,22.4,0.6,0.0,0.6,0.153,4.2,-1.2,3.0,0.2
connapa01,2021,50,Pat Connaughton,SG,28,MIL,23,546,11.2,0.633,0.798,0.109,5.6,14.4,9.9,4.8,0.9,1.0,8.8,10.7,0.8,0.8,1.6,0.143,-0.1,0.9,0.8,0.4
couside01,2021,51,DeMarcus Cousins,C,30,LAC,7,58,25.6,0.550,0.238,0.333,12.2,15.7,14.0,17.7,1.8,5.0,9.4,42.7,0.1,0.1,0.1,0.115,0.6,-0.3,0.4,0.0
covinro01,2021,52,Robert Covington,PF,30,POR,6,228,11.5,0.693,0.611,0.278,4.7,18.8,11.9,4.0,2.0,2.4,16.5,9.6,0.3,0.1,0.4,0.078,0.0,1.3,1.3,0.2
craigto01,2021,53,Torrey Craig,SF,30,PHO,22,266,10.0,0.539,0.493,0.173,8.4,17.4,13.2,4.6,0.2,2.8,11.0,15.6,0.1,0.4,0.4,0.081,-1.8,-0.8,-2.6,0.0
crowdja01,2021,54,Jae Crowder,PF,30,PHO,22,729,11.4,0.594,0.772,0.190,1.6,17.9,10.2,7.5,1.3,2.3,8.7,13.7,0.6,1.2,1.8,0.119,0.2,1.7,1.9,0.7
curryse01,2021,55,Seth Curry,SG,30,PHI,12,381,18.8,0.727,0.551,0.129,1.2,6.7,4.0,11.1,1.1,0.6,6.0,18.7,1.2,0.4,1.6,0.206,3.9,1.4,5.3,0.7
davisan02,2021,56,Anthony Davis,PF,27,LAL,5,144,20.9,0.541,0.177,0.677,5.3,21.3,12.9,16.7,1.1,5.4,6.9,26.8,0.2,0.2,0.5,0.159,3.2,2.8,6.0,0.3
dedmode01,2021,57,Dewayne Dedmon,C,31,MIA,4,57,13.6,0.619,0.167,0.278,13.1,17.8,15.4,9.7,0.0,3.2,22.9,20.2,0.0,0.0,0.0,0.037,-2.4,-1.0,-3.4,0.0
diakima01,2021,58,Mamadi Diakite,PF,24,MIL,7,35,3.4,0.322,0.200,0.200,3.0,18.8,10.7,0.0,4.2,2.6,8.4,14.6,-0.1,0.1,0.0,0.008,-9.1,2.4,-6.7,0.0
divindo01,2021,59,Donte DiVincenzo,SG,24,MIL,3,70,2.3,0.250,0.750,0.000,3.0,26.6,14.6,13.8,2.1,1.3,27.3,13.5,-0.2,0.1,-0.1,-0.064,-6.7,2.2,-4.5,0.0
doncilu01,2021,60,Luka Dončić,PG,21,DAL,7,281,27.5,0.572,0.388,0.260,1.6,22.3,11.4,54.1,1.7,1.2,12.8,40.4,0.6,0.1,0.7,0.127,10.0,1.8,11.8,1.0
dragigo01,2021,61,Goran Dragić,PG,34,MIA,4,117,12.7,0.540,0.481,0.222,0.8,5.2,2.9,18.1,1.7,1.6,9.2,24.5,0.0,0.1,0.0,0.005,1.0,0.6,1.6,0.1
drumman01,2021,62,Andre Drummond,C,27,LAL,5,105,19.2,0.618,0.000,0.313,19.6,40.5,29.6,0.0,1.9,2.8,23.2,20.1,0.0,0.2,0.2,0.112,-0.5,0.7,0.2,0.1
dudleja01,2021,63,Jared Dudley,PF,35,LAL,2,5,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.022,-5.2,0.0,-5.2,0.0
dunnkr01,2021,64,Kris Dunn,PG,26,ATL,5,33,6.2,0.444,0.200,0.800,0.0,16.4,8.3,19.4,3.0,5.2,37.2,14.4,-0.1,0.1,0.0,-0.019,-6.7,4.9,-1.8,0.0
duranke01,2021,65,Kevin Durant,PF,32,BRK,12,485,26.9,0.630,0.291,0.358,1.2,23.1,12.6,20.2,1.9,3.5,11.4,34.5,1.2,1.0,2.2,0.214,7.8,2.2,10.0,1.5
edwarca01,2021,66,Carsen Edwards,SG,22,BOS,2,5,34.9,0.833,0.667,0.000,0.0,24.5,11.6,0.0,0.0,0.0,0.0,25.4,0.0,0.0,0.0,0.186,12.6,0.6,13.2,0.0
ellebcj01,2021,67,CJ Elleby,SF,20,POR,2,8,0.4,0.000,0.000,0.000,14.8,28.2,21.7,14.8,0.0,0.0,50.0,11.3,0.0,0.0,0.0,-0.177,-4.6,-2.3,-6.8,0.0
embiijo01,2021,68,Joel Embiid,C,26,PHI,11,357,26.2,0.631,0.208,0.553,5.1,29.7,17.8,17.2,1.5,3.6,14.6,34.6,0.7,0.8,1.5,0.197,4.7,2.8,7.5,0.9
fallta01,2021,69,Tacko Fall,C,25,BOS,1,1,11.9,,,,0.0,100.0,57.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.092,1.2,-0.5,0.7,0.0
favorde01,2021,70,Derrick Favors,C,29,UTA,11,145,14.7,0.686,0.000,0.391,15.9,20.8,18.4,2.9,0.7,6.2,18.2,10.1,0.3,0.1,0.4,0.125,-1.8,1.0,-0.7,0.0
fernabr01,2021,71,Bruno Fernando,C,22,ATL,6,12,20.2,0.773,0.000,0.667,9.2,0.0,4.5,0.0,0.0,0.0,0.0,14.3,0.1,0.0,0.1,0.248,5.7,-1.7,4.0,0.0
ferreyo01,2021,72,Yogi Ferrell,PG,27,LAC,9,15,11.5,0.400,0.200,0.000,0.0,22.8,11.6,29.4,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.049,-2.2,0.0,-2.2,0.0
finnedo01,2021,73,Dorian Finney-Smith,PF,27,DAL,7,271,9.5,0.544,0.578,0.078,6.9,13.1,9.9,7.7,1.5,0.8,15.3,13.1,0.1,0.1,0.2,0.027,-0.9,0.0,-0.9,0.1
forbebr01,2021,74,Bryn Forbes,SG,27,MIL,20,273,10.5,0.567,0.795,0.071,0.8,10.4,5.5,3.1,0.4,0.7,5.7,19.2,0.2,0.3,0.5,0.093,-0.1,-0.6,-0.7,0.1
forretr01,2021,75,Trent Forrest,PG,22,UTA,4,10,7.9,0.500,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,-0.046,-2.7,-4.2,-6.9,0.0
fournev01,2021,76,Evan Fournier,SF,28,BOS,5,167,11.8,0.564,0.476,0.190,3.3,9.5,6.2,6.6,1.8,0.0,6.8,18.6,0.2,-0.1,0.1,0.015,-1.4,-0.8,-2.3,0.0
kanteen01,2021,77,Enes Freedom,C,28,POR,5,56,6.4,0.563,0.000,0.250,12.7,14.1,13.4,0.0,0.0,3.3,25.3,9.6,0.0,0.0,0.0,0.004,-5.3,-3.0,-8.3,-0.1
gaffoda01,2021,78,Daniel Gafford,C,22,WAS,5,117,25.1,0.807,0.000,0.923,12.5,14.5,13.5,3.9,2.0,6.9,7.6,14.1,0.5,0.1,0.6,0.244,4.2,1.9,6.1,0.2
gallida01,2021,79,Danilo Gallinari,PF,32,ATL,18,442,13.3,0.587,0.483,0.299,2.0,15.2,8.6,4.9,0.7,0.6,7.1,21.2,0.5,0.5,1.0,0.108,1.2,-0.6,0.7,0.3
gallola01,2021,80,Langston Galloway,SG,29,PHO,2,15,-7.1,0.134,0.286,0.143,0.0,14.0,7.4,8.5,0.0,6.1,0.0,22.6,-0.1,0.0,-0.1,-0.318,-12.2,-2.5,-14.6,0.0
gasolma01,2021,81,Marc Gasol,C,36,LAL,5,87,18.7,0.881,0.846,0.308,5.0,20.4,12.3,27.7,2.4,4.5,21.3,9.6,0.3,0.2,0.4,0.245,2.9,7.8,10.7,0.3
georgpa01,2021,82,Paul George,SF,30,LAC,19,776,20.0,0.578,0.406,0.412,2.6,24.4,13.6,21.8,1.3,1.3,13.2,30.5,1.1,0.8,1.9,0.116,2.5,0.0,2.5,0.9
gibsota01,2021,83,Taj Gibson,C,35,NYK,5,138,14.4,0.612,0.000,0.050,11.6,15.5,13.4,4.6,3.0,3.5,12.8,7.5,0.2,0.3,0.5,0.159,-1.5,3.6,2.1,0.1
gilesha01,2021,84,Harry Giles,C,22,POR,1,4,-26.5,0.000,0.000,0.000,59.1,28.2,43.3,0.0,0.0,0.0,75.0,45.1,-0.1,0.0,-0.1,-1.045,-33.2,-16.6,-49.8,0.0
gillan01,2021,85,Anthony Gill,PF,28,WAS,4,33,-8.8,0.000,0.333,0.000,3.2,10.3,6.6,0.0,0.0,0.0,50.0,7.6,-0.1,0.0,-0.1,-0.209,-13.1,-4.0,-17.1,-0.1
goberru01,2021,86,Rudy Gobert,C,28,UTA,11,376,21.4,0.736,0.012,0.815,13.9,27.3,20.9,3.6,0.8,5.5,13.4,15.0,1.2,0.3,1.5,0.192,1.6,1.0,2.6,0.4
gordoaa01,2021,87,Aaron Gordon,PF,25,DEN,10,299,10.5,0.505,0.232,0.253,7.4,13.5,10.2,9.4,0.8,0.9,11.3,18.0,0.0,0.0,0.0,-0.001,-2.2,-1.8,-4.0,-0.2
greenda02,2021,88,Danny Green,SF,33,PHI,8,199,13.0,0.583,0.771,0.000,5.1,6.4,5.8,13.5,2.2,3.3,9.4,11.5,0.3,0.3,0.6,0.143,1.4,2.0,3.5,0.3
greenja01,2021,89,JaMychal Green,PF,30,DEN,10,190,12.8,0.551,0.444,0.200,9.4,22.5,15.4,7.7,0.5,1.0,5.8,11.9,0.3,0.0,0.3,0.080,-0.1,-1.2,-1.3,0.0
greenje02,2021,90,Jeff Green,PF,34,BRK,6,148,12.3,0.671,0.545,0.242,3.1,9.3,6.3,9.2,1.0,1.2,7.6,12.1,0.3,0.2,0.5,0.156,1.5,1.1,2.6,0.2
greenjo02,2021,91,Josh Green,SG,20,DAL,1,4,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.029,-6.2,-0.5,-6.8,0.0
griffbl01,2021,92,Blake Griffin,PF,31,BRK,12,318,14.6,0.634,0.456,0.177,5.4,18.6,12.3,9.3,1.6,1.7,5.5,12.9,0.7,0.5,1.2,0.181,0.9,1.6,2.4,0.4
hachiru01,2021,93,Rui Hachimura,PF,22,WAS,5,173,13.7,0.708,0.319,0.255,3.0,20.3,11.3,4.3,0.5,0.5,8.7,13.8,0.3,0.0,0.3,0.095,1.0,-0.2,0.8,0.1
hardati02,2021,94,Tim Hardaway Jr.,SG,28,DAL,7,262,11.1,0.551,0.564,0.158,2.1,8.4,5.1,5.8,0.6,0.0,5.3,19.7,0.2,-0.1,0.2,0.028,0.3,-2.3,-1.9,0.0
hardeja01,2021,95,James Harden,PG,31,BRK,9,322,23.9,0.673,0.611,0.574,2.5,16.4,9.8,35.1,2.3,1.7,16.1,22.7,1.2,0.6,1.8,0.263,7.0,2.0,9.1,0.9
harremo01,2021,96,Montrezl Harrell,C,27,LAL,4,39,22.5,0.640,0.000,0.643,13.9,15.1,14.5,0.0,2.6,0.0,10.0,22.8,0.1,0.1,0.2,0.193,3.7,0.4,4.1,0.1
harrijo01,2021,97,Joe Harris,SF,29,BRK,12,434,7.1,0.537,0.667,0.033,1.3,9.3,5.5,6.0,0.5,0.4,6.7,14.0,0.0,0.4,0.5,0.053,-1.5,-1.7,-3.2,-0.1
