Pk,Year,Shares
antetgi01,2018,0.078
duranke01,2018,0.068
derozde01,2018,0.033
aldrila01,2018,0.006
butleji01,2018,0.005
curryst01,2018,0.005
embiijo01,2018,0.004
oladivi01,2018,0.002
westbru01,2017,1.000
hardeja01,2017,0.848
leonaka01,2017,0.563
jamesle01,2017,0.375
thomais02,2017,0.091
curryst01,2017,0.059
antetgi01,2017,0.008
walljo01,2017,0.008
davisan02,2017,0.002
duranke01,2017,0.002
derozde01,2017,0.001
curryst01,2016,1.000
leonaka01,2016,0.484
jamesle01,2016,0.482
westbru01,2016,0.371
duranke01,2016,0.112
paulch01,2016,0.082
greendr01,2016,0.038
lillada01,2016,0.020
hardeja01,2016,0.007
lowryky01,2016,0.005
curryst01,2015,1.000
hardeja01,2015,0.781
jamesle01,2015,0.461
westbru01,2015,0.294
davisan02,2015,0.169
paulch01,2015,0.104
aldrila01,2015,0.005
gasolma01,2015,0.003
griffbl01,2015,0.003
duncati01,2015,0.001
leonaka01,2015,0.001
thompkl01,2015,0.001
duranke01,2014,1.000
jamesle01,2014,0.723
griffbl01,2014,0.352
noahjo01,2014,0.261
hardeja01,2014,0.069
curryst01,2014,0.054
paulch01,2014,0.037
jeffeal01,2014,0.028
georgpa01,2014,0.027
aldrila01,2014,0.021
loveke01,2014,0.020
duncati01,2014,0.017
parketo01,2014,0.017
nowitdi01,2014,0.006
anthoca01,2014,0.003
dragigo01,2014,0.002
conlemi01,2014,0.001
jamesle01,2013,1.000
duranke01,2013,0.634
anthoca01,2013,0.394
paulch01,2013,0.239
bryanko01,2013,0.152
parketo01,2013,0.071
duncati01,2013,0.054
hardeja01,2013,0.027
westbru01,2013,0.007
wadedw01,2013,0.004
curryst01,2013,0.002
garneke01,2013,0.001
gasolma01,2013,0.001
lawsoty01,2013,0.001
leeda02,2013,0.001
noahjo01,2013,0.001
jamesle01,2012,1.000
duranke01,2012,0.828
paulch01,2012,0.358
bryanko01,2012,0.328
parketo01,2012,0.308
loveke01,2012,0.054
howardw01,2012,0.012
rondora01,2012,0.011
nashst01,2012,0.007
wadedw01,2012,0.006
rosede01,2012,0.005
nowitdi01,2012,0.004
westbru01,2012,0.004
duncati01,2012,0.003
johnsjo02,2012,0.001
rosede01,2011,1.000
howardw01,2011,0.544
jamesle01,2011,0.442
bryanko01,2011,0.362
duranke01,2011,0.161
nowitdi01,2011,0.096
wadedw01,2011,0.020
ginobma01,2011,0.017
stoudam01,2011,0.008
griffbl01,2011,0.004
rondora01,2011,0.004
parketo01,2011,0.003
paulch01,2011,0.002
jamesle01,2010,1.000
duranke01,2010,0.505
bryanko01,2010,0.497
howardw01,2010,0.397
wadedw01,2010,0.099
anthoca01,2010,0.054
nowitdi01,2010,0.046
nashst01,2010,0.041
willide01,2010,0.006
stoudam01,2010,0.004
ginobma01,2010,0.002
billuch01,2010,0.001
boshch01,2010,0.001
jacksst02,2010,0.001
johnsjo02,2010,0.001
jamesle01,2009,1.000
bryanko01,2009,0.596
wadedw01,2009,0.580
howardw01,2009,0.280
paulch01,2009,0.164
billuch01,2009,0.028
piercpa01,2009,0.018
parketo01,2009,0.008
roybr01,2009,0.006
nowitdi01,2009,0.003
duncati01,2009,0.002
mingya01,2009,0.001
bryanko01,2008,1.000
paulch01,2008,0.813
garneke01,2008,0.609
jamesle01,2008,0.398
howardw01,2008,0.055
stoudam01,2008,0.025
duncati01,2008,0.023
mcgratr01,2008,0.017
nashst01,2008,0.016
ginobma01,2008,0.008
nowitdi01,2008,0.005
willide01,2008,0.004
anthoca01,2008,0.003
boozeca01,2008,0.001
jamisan01,2008,0.001
piercpa01,2008,0.001
wallara01,2008,0.001
nowitdi01,2007,1.000
nashst01,2007,0.890
bryanko01,2007,0.458
duncati01,2007,0.251
jamesle01,2007,0.161
mcgratr01,2007,0.097
boshch01,2007,0.038
arenagi01,2007,0.027
boozeca01,2007,0.006
garneke01,2007,0.006
billuch01,2007,0.004
onealsh01,2007,0.003
wadedw01,2007,0.003
stoudam01,2007,0.002
anthoca01,2007,0.001
davisba01,2007,0.001
parketo01,2007,0.001
nashst01,2006,1.000
jamesle01,2006,0.745
nowitdi01,2006,0.589
bryanko01,2006,0.523
billuch01,2006,0.465
wadedw01,2006,0.094
brandel01,2006,0.054
duncati01,2006,0.036
parketo01,2006,0.010
iversal01,2006,0.001
mariosh01,2006,0.001
nashst01,2005,1.000
onealsh01,2005,0.968
nowitdi01,2005,0.327
duncati01,2005,0.308
iversal01,2005,0.225
jamesle01,2005,0.087
mcgratr01,2005,0.041
wadedw01,2005,0.040
stoudam01,2005,0.038
allenra02,2005,0.038
garneke01,2005,0.014
arenagi01,2005,0.004
cartevi01,2005,0.003
brownpj01,2005,0.001
cambyma01,2005,0.001
mariosh01,2005,0.001
garneke01,2004,1.000
duncati01,2004,0.587
onealje01,2004,0.429
stojape01,2004,0.231
bryanko01,2004,0.174
onealsh01,2004,0.146
wallabe01,2004,0.020
kiddja01,2004,0.014
jamesle01,2004,0.009
cassesa01,2004,0.003
davisba01,2004,0.003
nowitdi01,2004,0.003
kirilan01,2004,0.002
anthoca01,2004,0.001
mingya01,2004,0.001
reddmi01,2004,0.001
duncati01,2003,1.000
garneke01,2003,0.905
bryanko01,2003,0.516
mcgratr01,2003,0.444
onealsh01,2003,0.131
iversal01,2003,0.086
nowitdi01,2003,0.045
wallabe01,2003,0.034
kiddja01,2003,0.032
webbech01,2003,0.020
mashbja01,2003,0.001
nashst01,2003,0.001
piercpa01,2003,0.001
duncati01,2002,1.000
kiddja01,2002,0.940
onealsh01,2002,0.730
mcgratr01,2002,0.409
bryanko01,2002,0.103
paytoga01,2002,0.057
webbech01,2002,0.039
nowitdi01,2002,0.032
iversal01,2002,0.030
wallabe01,2002,0.025
piercpa01,2002,0.023
garneke01,2002,0.018
jordami01,2002,0.017
nashst01,2002,0.005
stackje01,2002,0.003
bibbymi01,2002,0.001
brandel01,2002,0.001
stojape01,2002,0.001
iversal01,2001,1.000
duncati01,2001,0.630
onealsh01,2001,0.516
webbech01,2001,0.465
garneke01,2001,0.135
mcgratr01,2001,0.057
malonka01,2001,0.019
kiddja01,2001,0.016
bryanko01,2001,0.010
robinda01,2001,0.007
allenra02,2001,0.006
cartevi01,2001,0.006
piercpa01,2001,0.004
stackje01,2001,0.003
finlemi01,2001,0.001
masonan01,2001,0.001
stockjo01,2001,0.001
onealsh01,2000,1.000
garneke01,2000,0.338
mournal01,2000,0.304
malonka01,2000,0.258
duncati01,2000,0.205
paytoga01,2000,0.149
iversal01,2000,0.109
hillgr01,2000,0.094
webbech01,2000,0.080
cartevi01,2000,0.042
kiddja01,2000,0.021
bryanko01,2000,0.002
armstda01,2000,0.001
finlemi01,2000,0.001
millere01,2000,0.001
roseja01,2000,0.001
malonka01,1999,1.000
mournal01,1999,0.935
duncati01,1999,0.895
iversal01,1999,0.386
kiddja01,1999,0.192
onealsh01,1999,0.108
webbech01,1999,0.062
hillgr01,1999,0.047
paytoga01,1999,0.042
garneke01,1999,0.011
kempsh01,1999,0.008
robinda01,1999,0.007
olajuha01,1999,0.004
sabonar01,1999,0.004
armstda01,1999,0.002
cartevi01,1999,0.001
hardaan01,1999,0.001
jacksma01,1999,0.001
robingl01,1999,0.001
smithst01,1999,0.001
wallara01,1999,0.001
jordami01,1998,1.000
malonka01,1998,0.777
paytoga01,1998,0.398
onealsh01,1998,0.287
duncati01,1998,0.137
hardati01,1998,0.065
robinda01,1998,0.033
bakervi01,1998,0.022
hillgr01,1998,0.021
pippesc01,1998,0.013
ricegl01,1998,0.006
walkean02,1998,0.006
kiddja01,1998,0.005
stockjo01,1998,0.005
richmmi01,1998,0.003
millere01,1998,0.002
smitsri01,1998,0.002
finlemi01,1998,0.001
stricro02,1998,0.001
malonka01,1997,1.000
jordami01,1997,0.971
hillgr01,1997,0.381
hardati01,1997,0.241
ricegl01,1997,0.136
paytoga01,1997,0.106
olajuha01,1997,0.096
ewingpa01,1997,0.058
masonan01,1997,0.007
onealsh01,1997,0.007
pippesc01,1997,0.006
mournal01,1997,0.005
mutomdi01,1997,0.004
richmmi01,1997,0.004
stockjo01,1997,0.003
barklch01,1997,0.002
guglito01,1997,0.001
iversal01,1997,0.001
johnske02,1997,0.001
smithst01,1997,0.001
jordami01,1996,1.000
robinda01,1996,0.515
hardaan01,1996,0.323
olajuha01,1996,0.214
pippesc01,1996,0.203
paytoga01,1996,0.088
malonka01,1996,0.076
kempsh01,1996,0.066
hillgr01,1996,0.057
onealsh01,1996,0.057
stockjo01,1996,0.011
barklch01,1996,0.007
johnsma02,1996,0.007
mournal01,1996,0.005
rodmade01,1996,0.004
brandte01,1996,0.003
richmmi01,1996,0.003
robinda01,1995,1.000
onealsh01,1995,0.671
malonka01,1995,0.590
ewingpa01,1995,0.255
olajuha01,1995,0.163
barklch01,1995,0.107
pippesc01,1995,0.092
stockjo01,1995,0.052
paytoga01,1995,0.038
hardaan01,1995,0.026
jordami01,1995,0.013
rodmade01,1995,0.010
kiddja01,1995,0.008
drexlcl01,1995,0.003
cebalce01,1995,0.001
olajuha01,1994,1.000
robinda01,1994,0.821
pippesc01,1994,0.439
onealsh01,1994,0.325
ewingpa01,1994,0.287
paytoga01,1994,0.022
kempsh01,1994,0.019
malonka01,1994,0.019
pricema01,1994,0.008
barklch01,1994,0.006
blaylmo01,1994,0.001
johnske02,1994,0.001
rodmade01,1994,0.001
sprewla01,1994,0.001
stockjo01,1994,0.001
wilkido01,1994,0.001
willike02,1994,0.001
barklch01,1993,1.000
olajuha01,1993,0.775
jordami01,1993,0.677
ewingpa01,1993,0.430
wilkido01,1993,0.065
robinda01,1993,0.040
onealsh01,1993,0.036
malonka01,1993,0.012
pricema01,1993,0.012
daughbr01,1993,0.001
drexlcl01,1993,0.001
dumarjo01,1993,0.001
kempsh01,1993,0.001
stockjo01,1993,0.001
jordami01,1992,1.000
drexlcl01,1992,0.623
robinda01,1992,0.374
malonka01,1992,0.291
ewingpa01,1992,0.111
mullich01,1992,0.090
pricema01,1992,0.073
hardati01,1992,0.071
pippesc01,1992,0.036
rodmade01,1992,0.029
daughbr01,1992,0.027
barklch01,1992,0.020
stockjo01,1992,0.020
birdla01,1992,0.003
johnske02,1992,0.002
mannida01,1992,0.001
schrede01,1992,0.001
jordami01,1991,1.000
