Pk,Pos,Ht,Wt
gordodr01,F,6-9,245
gordoer01,G-F,6-3,215
gortama01,C-F,6-11,240
goudean01,G,6-3,200
graceri01,G,6-1,180
grahade01,G,6-1,195
grahagr01,G,6-4,174
grahajo01,F,6-7,225
grahapa01,F-G,6-6,200
grahast01,G,6-6,215
grahatr01,G,6-5,219
grandji01,F-C,7-0,235
grandro01,F,6-6,215
grangda01,F,6-9,222
grantbr01,F,6-9,254
grantga01,G,6-3,185
grantgr01,G,5-7,140
grantha01,F,6-8,195
grantho01,F-C,6-10,215
grantje01,F,6-7,210
grantje02,G,6-4,205
grantjo01,F,6-9,223
grantpa01,C,7-0,245
grantdo01,F,6-8,215
graveha01,G,6-2,188
grayaa01,C,7-0,270
grayde01,F,6-7,240
grayed01,G,6-3,210
grayev01,F,6-7,235
grayjo01,G,6-0,180
grayra01,F,6-8,260
grayst01,C-F,7-0,235
grayeje01,F-G,6-5,200
greenac01,F-C,6-9,220
greenaj01,G,6-4,200
greenda02,G-F,6-6,215
greende01,G,6-7,210
greendr01,F,6-6,230
greener01,G,6-4,185
greenge01,G-F,6-6,205
greenja05,G,6-4,178
greenja01,F,6-8,227
greenja02,F,6-4,205
greenje02,F,6-8,235
greenjo02,G-F,6-5,200
greenli01,G,6-1,185
greenri01,G,6-0,170
greense01,G-F,6-5,210
greensi02,F-C,6-9,220
greenta01,G,6-0,177
greenwi01,G,6-4,200
greendo01,F,6-11,226
greenor01,G,6-4,208
greenda01,F-C,6-9,222
greerly01,G,6-2,175
griffad01,G-F,6-5,217
griffaj01,F,6-6,222
griffbl01,F-C,6-9,250
griffed01,F-C,6-10,220
griffta01,F,6-7,238
griffda01,G,6-4,190
grimequ01,G,6-5,205
grimmde01,F,6-9,230
grundan01,G,6-3,180
gudurma01,G,6-6,201
gueyemo01,F,6-9,210
gueyemo02,F,6-11,210
guglito01,F,6-10,240
guibean01,F-C,6-10,225
guidija01,C,6-10,255
gutiejo01,G,6-3,191
guyky01,G,6-1,167
guytoaj01,G,6-1,180
hachiru01,F,6-8,230
haddaha01,C,7-2,254
haffnsc01,G,6-3,180
haganas01,G,6-3,190
hairsma01,G,6-6,220
hairspj02,G-F,6-6,230
haislma01,F,6-10,230
haleyja01,C-F,6-10,240
halibty01,G,6-5,185
hallde01,G,6-2,215
halldo01,F,6-9,232
halljo02,G-F,6-7,215
halljo01,F,6-9,190
hallmi01,F,6-8,230
hallty01,G,6-5,209
hamda01,F,6-7,220
hamerst01,C,7-0,245
hamilda02,G-F,6-7,195
hamiljo02,G-F,6-7,220
hamilju01,C,7-0,260
hamilri01,G-F,6-6,185
hamilta01,F,6-8,220
hamilth01,C,7-2,330
hamilze01,C-F,6-11,250
hammige01,C,7-0,262
hammoto01,F,6-9,215
hammoaj01,C,7-0,260
hamptrj01,G,6-4,175
hancoda01,G-F,6-7,205
handlbe01,C,6-10,240
hannadu01,G,6-3,210
hansbbe01,G,6-3,203
hansbty01,F,6-9,250
hansebo01,G,6-6,190
hansetr01,G,6-6,205
hansore01,F,6-8,195
hanzlbi01,G-F,6-7,185
haranlu01,F,6-8,246
hardaan01,G-F,6-7,195
hardati01,G,6-0,175
hardati02,G,6-5,205
hardeja01,G,6-5,220
hardyja02,G,6-4,198
harklma01,F-G,6-7,220
harmoje01,G,6-4,190
harpede01,G,6-4,185
harpeja01,G,5-10,175
harpeju01,F,6-10,225
harpero01,G-F,6-6,185
harpero02,G-F,6-6,245
harprma01,F,6-7,231
harremo01,F-C,6-7,240
harrejo01,C,6-10,275
harriad01,G,6-5,200
harrial01,F,6-9,230
harriju01,G,6-4,180
harriot01,F-C,6-9,235
harride01,G,6-3,185
harriel01,F,6-8,239
harriga01,G,6-4,210
harrija01,G,6-5,195
harrijo01,G,6-6,220
harrike01,G,6-5,216
harrilu01,G,6-5,190
harrima01,G,6-5,185
harrimi01,F,6-6,240
harrist01,G,6-5,195
harrite01,G,6-5,190
harrito02,F,6-8,226
harrito01,G,6-3,190
harriaa01,G,6-6,210
harrian01,G,6-6,213
harrida01,C,7-0,280
harrish01,G,6-4,190
hartja01,G,6-3,185
hartjo01,G,6-4,215
harteis01,F,7-0,250
harvean01,F-C,6-11,225
harvedo01,F,6-8,220
haskisc01,C-F,6-11,250
hasleud01,F-C,6-8,235
hassetr01,G,6-5,200
hastisc01,F-C,6-10,235
hastoki01,F,6-9,242
hausesa01,F,6-8,215
hawessp01,C-F,7-1,245
hawkihe01,G,6-3,190
hawkijo01,G,6-5,195
hawkiju01,G-F,6-7,220
hawkimi01,G,6-0,178
hayesch01,F-C,6-6,240
hayesja01,F,6-7,220
hayesja02,F,7-0,220
hayeski01,G,6-5,195
hayesni01,F,6-8,254
haywago01,F-G,6-7,225
haywala01,F,6-6,225
haywobr01,C,7-0,268
headlu01,G,6-3,185
healsh01,G,6-0,180
hearnre01,G,6-5,210
heggsal01,F,6-8,225
hendeal01,F,6-9,235
hendece02,F,6-7,215
hendege01,G,6-2,175
hendege02,G,6-5,215
hendejr01,F,6-8,226
hendesc01,G,6-3,202
hendrita01,G,6-9,210
hendrma01,F,6-9,220
henryaa01,F,6-6,210
henrymy01,F,6-6,210
henrysk01,G,6-7,190
henryxa01,G,6-6,220
hensojo01,C-F,6-9,219
hensost01,G,5-11,177
hernade01,F,6-10,235
hernaju01,F,6-9,214
hernawi01,C,6-11,250
herrech01,G,6-2,197
herreca01,F,6-9,215
herrmwa01,F,6-9,225
herroty01,G,6-5,195
herveke01,F,6-9,230
hezonma01,F-G,6-8,220
hibbero01,C,7-2,270
hicksis01,F,6-9,230
hicksjj01,F-C,6-9,242
hieldbu01,G-F,6-4,220
higgico01,G,6-5,180
higgimi01,F,6-9,220
higgiro01,F,6-7,200
higgise01,G-F,6-9,205
highsha01,F,6-7,220
hilarne01,F-C,6-11,250
hillge01,G,6-4,188
hillgr01,F-G,6-8,225
hilljo01,C-F,6-10,235
hillma01,F,6-6,220
hillso01,F,6-6,226
hillst01,C,7-0,248
hillty01,F,6-9,240
hillida01,G,6-6,205
hinriki01,G,6-4,190
hinsoro01,F-C,6-9,210
hintona01,G,6-5,210
hitero01,G,6-2,184
hoardja01,F,6-8,216
hobsoda01,G,6-7,210
hodgedm01,G,6-4,188
hodgedo01,C,7-0,230
hodgeju01,G,6-7,210
hodgecr01,G,6-2,190
hoibefr01,G,6-4,203
holcora01,F,6-9,225
holidaa01,G,6-0,185
holidjr01,G,6-4,205
holidju01,F,6-6,180
hollajo02,G-F,6-5,205
holliry01,C,7-0,240
holliro01,F,6-6,217
holmeri01,C-F,6-10,235
holmgch01,F-C,7-1,208
holtomi01,G,6-4,185
honeyje01,F-G,6-9,245
honeyty01,F,6-8,188
hoodde01,F,6-8,222
hoodro01,G-F,6-8,208
hoodsja01,G,6-6,215
hoppeda01,C-F,6-11,235
hopsode01,G-F,6-5,200
hopsosc01,G,6-7,204
horfoal01,C-F,6-9,240
horfoti01,C,7-1,245
hornaje01,G,6-4,190
hornede01,F,6-9,230
horryro01,F,6-10,240
hortoed01,F,6-8,230
hortota01,G-F,6-4,234
houseda01,G,6-6,220
houseed01,G,6-1,180
houstca01,G-F,6-8,205
houstal01,G,6-6,200
houstby01,F,6-5,250
hovasto01,F,6-8,205
howarbr01,F,6-6,204
howardw01,C,6-10,265
howarje01,G,6-8,215
howarjo01,F-G,6-7,210
howarju01,F-C,6-9,240
howarma02,G,5-10,175
howarst01,F,6-9,225
howarwi01,F,6-8,207
hudgitr01,G,6-0,180
hudsole01,G,6-3,190
hudsotr01,G,6-1,170
huertma01,G,6-3,200
huertke01,G,6-7,190
huestjo01,F,6-7,230
huffja01,F-C,7-1,240
huffmna01,C,7-1,245
hugheed01,G,5-10,165
hugheel01,F,6-5,215
hughela01,G,6-5,184
hugheri02,F,6-9,235
hummero01,F,6-8,215
humphry01,F,6-8,235
humphis01,C,7-0,255
humphja01,G,6-3,185
humphkr01,F-C,6-9,235
huntfe01,F,6-8,195
huntebr01,F,6-7,260
huntece01,G,6-0,180
huntech01,F,6-11,240
huntede01,F,6-8,225
hunteli01,G,6-2,170
hunteot01,F,6-8,225
hunterj01,G,6-5,185
huntest01,C,7-0,220
huntevi01,F,6-8,208
hurlebo01,G,6-0,165
hurtma01,F,6-9,235
hutchch01,G,6-6,210
hylanbo01,G,6-2,173
ibakase01,F-C,6-11,235
iguodan01,F-G,6-6,215
ilgauzy01,C,7-3,238
ilicmi01,C,7-1,230
mbengdj01,C,7-0,245
ilyaser01,F,6-9,235
inglejo01,F-G,6-9,220
inglida01,F,6-8,246
ingraan01,G,6-3,190
ingrabr01,F,6-8,190
irvinby01,G,6-5,190
irvinky01,G,6-2,195
isaacjo01,F,6-10,230
iuzzomi01,G,5-10,175
iversal01,G,6-0,165
iveyja01,G,6-4,195
iveyro01,G,6-3,200
iwundwe01,F,6-6,195
jackja01,G,6-3,200
jacksaa01,G,6-4,185
jacksan01,G,6-6,210
jacksbo01,G,6-1,185
jacksce01,G,6-3,191
jacksda01,F,6-9,253
jacksde01,G,6-1,201
jacksfr01,G,6-3,205
jacksgg01,F,6-9,215
jacksis01,C-F,6-10,206
jacksja01,G-F,6-4,190
jacksja02,F,6-10,242
jacksje01,G,6-4,204
jacksji01,G,6-6,220
jacksjo02,F-G,6-8,207
jacksju01,G-F,6-8,220
jackslu02,F,6-7,215
jacksma02,C,6-10,270
jacksma01,G,6-1,180
jacksmi02,G,6-2,183
jackspi01,G,5-10,180
jacksqu01,G,6-5,175
jacksra02,F,6-11,215
jacksre01,G,6-2,208
jacksst01,G,6-3,185
jacksst02,F-G,6-8,218
jackstr02,F,6-9,245
jacobca01,G-F,6-6,215
jacobsa01,G-F,6-4,215
jamerda01,G-F,6-5,190
jamesbe01,C,6-10,240
jamesda01,G-F,6-7,225
jameshe01,F,6-8,220
jamesje01,C,7-0,300
jamesju01,G,6-7,190
jamesle01,F-G,6-9,250
jamesmi01,G,6-2,188
jamesmi02,G,6-1,189
jamesti01,F,6-7,212
jamisan01,F,6-9,223
jamisha01,F,6-8,260
jaqueja01,G-F,6-6,225
jaricma01,G,6-7,198
jarrede01,G,6-5,185
jasiksa01,G,6-4,195
jawaina01,C-F,6-10,280
jeffech01,G-F,6-8,225
jeffeot01,G,6-5,200
jeffeal01,C-F,6-10,289
jeffeam01,F,6-9,222
jeffeco01,F,6-9,218
jeffedo01,G,6-5,195
jefferi01,F,6-7,233
jeffrda01,G-F,6-5,230
jeffrja01,F,6-11,230
jemistr01,C,6-11,260
jenkich01,G,6-3,220
jenkiho01,G,6-1,180
jenkijo01,G,6-4,215
jennibr01,G,6-1,170
jennike01,G,5-7,160
jentch01,F,6-7,220
jepsele01,C,7-0,237
jerebjo01,F,6-10,231
jeromty01,G,6-5,195
jerregr01,F,6-10,235
jetereu01,G,5-11,175
jianlyi01,F,7-0,240
joeis01,G,6-4,165
johnsbr01,F,6-10,210
johnsal01,F,6-9,240
johnsal02,F,6-7,212
johnsam01,F-C,6-9,240
johnsan02,G,6-3,190
johnsar02,G,6-3,195
johnsav01,G,5-10,175
johnsbj01,G,6-7,200
johnsbr02,F,6-10,230
johnsbu01,F,6-7,190
johnsca02,F,6-8,210
johnsca01,G,5-10,180
johnsch03,C,6-11,210
johnsch04,F-G,6-6,206
johnsda04,C,7-0,255
johnsda02,G,6-1,170
johnsda01,G-F,6-7,210
johnsda08,G,6-5,210
johnsde02,F,6-9,245
johnsde01,G,6-4,185
johnsde03,F,6-9,201
johnsed03,F-G,6-7,215
johnser01,G,6-2,205
johnser02,C,6-11,245
johnsfr01,G,6-1,185
johnsiv01,F,6-8,230
johnsja02,F,6-10,221
johnsja05,F,6-9,220
johnsja01,F,6-7,240
johnsjo02,G-F,6-7,240
johnske04,G,6-5,220
johnske03,F-C,6-11,240
johnske07,G,6-5,186
johnske02,G,6-1,180
johnske08,F,6-5,230
johnsla02,F,6-7,250
johnsli01,F,6-8,205
johnsma02,G-F,6-9,215
johnsma01,F-G,6-7,218
johnsni01,G,6-3,202
johnsom01,F,6-9,220
johnsor01,G,6-5,220
johnsst04,F,6-6,242
johnsst03,C-F,6-10,235
johnstr01,G,6-5,218
johnsty01,G,6-3,186
johnsvi01,G,6-2,200
johnswe01,F-G,6-7,215
johnsda03,G,6-2,215
johnsna01,F,6-8,210
jokicni01,C-F,6-11,284
jonesal01,C,6-11,265
jonesan01,G-F,6-6,195
jonesas01,G,6-5,200
jonesbo02,F,6-7,215
jonesca01,C-F,6-11,217
jonesca03,G,6-1,185
jonesch01,F-C,6-9,215
jonesch03,G,6-3,180
jonesco02,G,6-6,205
jonesda02,G-F,6-6,225
jonesda03,F-C,6-11,245
jonesda01,G,6-3,185
jonesde01,F,6-8,221
jonesde02,F,6-5,210
jonesdo02,G,6-4,215
jonesdo01,F,6-8,220
jonesdw02,F-C,6-11,250
jonesed02,G-F,6-6,190
jonesfr01,G-F,6-4,210
joneshe01,F,6-8,210
jonesja04,G,6-7,220
jonesja02,F-G,6-8,218
jonesje01,F,6-5,174
jonesju01,F,6-8,218
joneska01,F-C,6-11,218
joneske01,F,6-8,251
jonesma03,G,6-6,215
jonesma05,G,6-4,200
jonespe01,F,6-11,235
jonespo01,F,6-8,250
jonesso01,F,6-10,230
joneste01,F,6-9,252
jonestr01,G,6-1,185
jonesty01,G,6-1,196
jordaad01,G,5-11,170
jordade01,C,6-11,265
jordaje01,C,7-0,253
jordami01,G-F,6-6,198
jordare01,G,6-4,195
jordath01,F-C,6-10,220
josepco01,G,6-2,200
josepga01,C,7-2,315
josepkr01,F,6-7,210
jovicni01,G-F,6-10,209
juzanjo01,G,6-7,215
kabenmf01,F,6-9,250
kalaige01,G-F,6-8,192
kamanch01,C,7-0,265
kaminfr01,F-C,7-0,240
kaponja01,F,6-8,213
karasse01,G-F,6-7,208
karlco01,G,6-5,215
kasunma01,C,7-1,260
kaunsa01,C,6-11,260
keefead01,F,6-9,230
keelstr01,G,6-5,221
kellyry01,F,6-11,230
kempsh01,F-C,6-10,230
kemptti01,F-C,6-10,245
kennalu01,G,6-5,206
kennedj01,F,6-6,215
kernejo01,C,6-11,245
kerrst01,G,6-3,175
kerseje01,F,6-7,215
kesslal01,F-C,6-11,230
kesslwa01,C,7-0,245
ketnela01,F-C,6-9,277
keybr01,F,6-8,230
keysra01,F-G,6-7,195
khryavi01,F,6-9,210
kiddja01,G,6-4,205
kiddst01,F,6-6,215
kiddwa01,F,6-9,235
kiddgmi01,F,6-6,232
kilpase01,G,6-4,210
kimblbo01,G,6-4,190
kimbrst01,G,5-11,153
kingal01,F-G,6-6,190
kingbe01,F,6-7,205
kingch01,F,6-8,215
kingfr01,G,6-1,185
kingge03,G-F,6-6,225
kingge02,F,6-9,230
kingji02,G,6-5,210
kinglo02,F,6-7,205
kingri01,C,7-2,260
kingst01,F-C,6-11,230
kinseta01,G,6-6,185
kirilan01,F,6-9,220
kirkal01,C,7-0,245
kispeco01,G-F,6-7,220
kitegr01,C,6-11,250
kittlke01,G,6-5,179
klebima01,F,6-10,240
kleinjo01,C,6-11,255
kleizli01,F,6-8,245
knighbr02,G,6-0,180
knighbr03,G,6-2,182
knighbr01,G,5-10,173
knighna01,F-C,6-8,253
knighne01,G,6-1,175
knightr01,C,7-0,235
knoxke01,F,6-7,215
kofoeba01,G,6-4,210
kolokch01,C,7-1,230
koncajo01,C-F,7-0,250
konchjo01,G,6-5,210
korkmfu01,G,6-7,202
kornefr01,F,6-9,225
kornelu01,C-F,7-2,250
korolya01,F,6-9,203
korveky01,G-F,6-7,212
koufoko01,C,7-0,245
kravtvi01,C,7-0,260
krejcvi01,G,6-8,195
krstine01,C,7-0,240
krystla01,F-C,6-9,220
kukocto01,F,6-10,192
kulboar01,F,6-9,198
kuminjo01,F,6-8,210
kurucro01,F,6-9,228
kurzro01,F,6-9,232
kutluib01,G,6-6,200
kuzmaky01,F,6-9,221
kuzmiog01,C,7-1,251
kuzmimi01,F,6-9,215
lafrera01,F-C,6-11,240
laravja01,F,6-8,235
larueru01,G,6-2,210
lavinza01,G-F,6-5,200
labissk01,F,6-10,235
laettch01,F-C,6-11,235
lafayol01,G,6-2,190
laimbbi01,C,6-11,245
lamban01,F,6-6,227
lambdo01,G,6-4,210
lambje01,G-F,6-5,180
lampema01,C,6-11,275
lamplse01,F,6-7,227
landajo01,C,6-11,256
landrca01,F,6-9,248
landrma01,F,6-7,230
laneje01,F,6-6,230
langan01,C,6-11,245
langan02,F-G,6-8,205
langja01,C,6-10,285
langdtr01,G,6-3,197
langfke01,G,6-4,215
langfro01,G,6-5,216
langhda01,F,6-11,220
laproni01,G,6-4,180
larkish01,G,5-11,175
lasmest01,F,6-8,215
laudepr01,C,7-4,325
lauvejo01,C-F,6-11,220
lawac01,G,6-3,195
lawvi01,F,6-7,200
lawalga01,F,6-9,234
lawsoaj01,G,6-6,179
lawsoja01,C,6-11,240
lawsoty01,G,5-11,195
laymaja01,F,6-8,209
leverca01,G-F,6-6,205
leaftj01,F,6-10,222
leboje01,G,6-2,180
leckner01,C-F,6-11,265
lecquja01,G,6-4,185
ledori01,G,6-7,195
leeco01,G,6-5,215
leeda03,G,6-5,210
leeda02,F-C,6-9,245
leedo01,G-F,6-5,200
leeku01,G,6-3,190
leema01,G,6-5,200
leesa01,G,6-2,183
legleti01,G,6-4,200
lemonwa01,G,6-3,180
lenal01,C,7-0,250
lenarvo01,G,6-4,205
leonaga01,C,7-1,250
leonaka01,F,6-7,225
leoname01,C-F,7-0,260
lesji01,G,5-11,165
leslitr01,G,6-4,205
lettcl01,G,6-3,170
leuerjo01,F,6-10,228
leverfa01,G,6-3,170
levincl01,F,6-8,210
lewisce01,F-C,6-10,235
lewiski01,G,6-1,170
lewisma01,F,6-5,210
lewisma05,F,6-7,195
lewisqu01,F,6-7,215
lewisra01,F-G,6-6,200
lewisra02,F,6-10,215
lewisre01,G-F,6-7,195
lewissc01,G,6-5,189
liberma01,F,6-8,205
lichtto01,G-F,6-4,205
liddeej01,F,6-7,240
liggide01,G,6-6,209
lillada01,G,6-2,195
linje01,G,6-3,200
listeal01,C-F,7-0,240
littlna01,F,6-5,220
livelde01,C,7-1,230
liveris01,F,6-7,230
livinch01,F,6-6,220
livinra01,G,6-4,209
livinsh01,G,6-7,192
llamaho01,C,6-11,285
lloydle01,G-F,6-6,205
lockhia01,F,6-8,240
loftoke01,F,6-7,275
loftoza01,G,6-4,180
lohaubr01,F-C,6-11,230
longar01,F-C,6-9,250
longgr01,F,6-8,225
longjo01,G-F,6-5,195
longsh01,C-F,6-9,255
longllu01,C,7-2,265
looneke01,F-C,6-9,222
lopezbr01,C,7-1,282
lopezfe01,G,6-5,199
lopezra01,G,6-1,170
lopezro01,C,7-1,281
lorthry01,G,6-4,190
louzama01,G,6-5,188
loveke01,F-C,6-8,251
lowesi01,G,6-0,195
lowryky01,G,6-0,196
loydjo01,G,6-4,210
lucasjo01,G,6-3,175
lucaska01,G,6-1,195
lucasjo02,G,5-11,166
luety01,G,6-0,175
lundbga01,G,6-4,203
lundyse01,G-F,6-6,220
luwawti01,F,6-7,220
lydonty01,F,6-10,225
lylestr01,F,6-9,234
lynchge01,F,6-8,218
lynchke01,G-F,6-5,195
mcclesh01,G,6-5,200
maccuto01,C,7-0,280
macledo01,F,6-10,235
machasc01,G,6-1,205
macijar01,G,6-4,214
macksa01,F-G,6-7,220
macksh01,G,6-3,203
mackema01,F-C,6-9,248
macklve01,F,6-10,227
maconda01,G,6-2,185
maconma01,G,6-5,185
macurjp01,G,6-5,203
maddoti01,G,6-4,190
madkige01,G,6-4,200
madsema01,F-C,6-9,240
magetjo01,G,6-1,160
maggeco01,F,6-6,218
magloja01,C,6-11,259
magnawi01,C,6-10,234
mahinia01,C,6-11,262
mahorri01,C-F,6-10,240
majerda01,G-F,6-6,215
majorre01,F,6-7,200
makerth01,F-C,7-0,221
maledth01,G,6-4,175
malonje01,G,6-4,205
malonka01,F,6-9,250
malonmo01,C-F,6-10,215
malonma01,G,6-3,192
mamuksa01,C-F,6-11,240
maneka01,G,6-3,190
mannte01,G-F,6-5,215
manntr01,G,6-3,178
mannida01,F-C,6-10,230
manniri01,C,6-11,253
mannini01,G,6-2,190
marblde01,G-F,6-6,200
marblro01,G-F,6-6,190
marbust01,G,6-2,180
marcisa01,G,6-5,200
mariosh01,F,6-7,220
marjabo01,C,7-4,290
markkla01,F-C,7-0,240
markoda01,C,6-10,225
marksse01,F-C,6-10,250
marshdo02,F,6-7,230
marshdo01,F,6-9,218
marshke01,G,6-4,200
marshna01,F,6-7,220
marshra01,G-F,6-9,190
martibo01,C,7-0,250
martica02,F,6-5,205
martica01,F,6-7,220
martico01,G-F,6-5,205
marticu01,G-F,6-5,213
martida01,G,5-11,170
martija01,F,6-10,239
martije01,G,6-5,195
martije02,G,6-3,185
martike03,F,6-5,230
martike01,F,6-9,234
martike02,G,6-7,199
martike04,F,6-6,215
martity01,G,6-6,215
mashbja01,F,6-8,240
masonan01,F,6-8,250
masonde01,F,6-7,224
masonfr01,G,5-11,190
masonro01,G,6-5,200
masseto01,F,6-9,220
matenya01,F,6-8,240
mathega01,G,6-5,215
mathima01,C-F,6-10,230
mathida01,G,6-4,200
mathube01,G-F,6-6,210
matthwe01,G,6-1,170
matthwe02,G,6-5,220
maxeyma01,F,6-8,250
maxeyty01,G,6-2,200
maxieja01,F-C,6-7,260
maxweve01,G,6-4,180
mayse01,F-C,6-9,266
maybele01,G,6-1,172
mayesth01,G,6-3,175
maynoer01,G,6-3,175
mayooj01,G,6-5,210
mayssk01,G,6-4,205
maystr01,G,6-2,190
mbahalu01,F,6-8,230
mcadoja01,F,6-9,230
mcbrimi01,G,6-2,200
mccalta01,G,6-5,195
mccalra01,G,6-3,190
mccanbo01,F,6-6,244
mccanme01,F,6-8,240
mccanra01,G,6-4,207
mccarke01,G-F,6-7,200
mccarwa01,F,6-10,230
mccasam01,F-C,6-11,235
mccawpa01,G,6-7,181
mcclida01,C,7-0,270
mccloge01,G-F,6-6,205
mccluma01,G,6-2,185
mccolcj01,G,6-3,190
mccontj01,G,6-1,190
mccorti01,C,6-11,240
mccoyje01,C,6-10,245
mccrach01,G,6-5,192
mccraro01,F-G,6-7,220
mccreer01,F,6-7,219
mcculch01,F,6-11,200
mcdancl01,G,6-4,180
mcdanxa01,F,6-7,205
mcdanja02,F,6-9,185
mcdanja01,F,6-9,205
mcdankj01,G-F,6-6,205
mcderdo01,F,6-6,225
mcderse01,F,6-6,195
mcdonmi01,C,6-10,232
mcdyean01,F-C,6-9,220
mcfariv01,F,6-8,240
mcgarmi01,F-C,6-10,255
mcgeeja01,C,7-0,270
mcgeemi01,G-F,6-5,190
mcgowbr01,G-F,6-7,179
mcgratr01,G-F,6-8,210
mcgrica01,F,6-7,230
mcgruro01,G,6-4,205
mcguido01,F,6-9,220
mchalke01,F-C,6-10,210
mcilvji01,C,7-1,240
mcinnje01,G,6-4,190
mckeyde01,F-C,6-9,205
mckieaa01,G-F,6-5,209
mckinca01,G,6-4,190
mckintr01,G,6-5,214
mckinal01,F,6-7,215
mclauja01,G,6-4,190
mclaujo01,G,6-0,185
mclembe01,G,6-3,195
mcleoke01,G,6-2,188
mcleoro01,F,6-8,221
mcmilna01,G-F,6-5,195
mcnamma01,C-F,6-11,235
mcneaje01,G,6-3,200
mcphepa01,G,6-4,210
mcraejo01,G,6-5,179
mcrobjo01,F-C,6-10,240
medvest01,F,6-10,250
meeda01,G,6-5,175
meeksjo01,G,6-4,210
meentsc01,F,6-10,225
mejrisa01,C,7-2,235
mekelga01,G,6-3,191
mellini01,F,6-9,236
melofa01,C,7-0,255
meltode01,G,6-2,200
mensana01,F,6-8,230
mensapo01,F,6-9,240
mercero01,G-F,6-7,210
merrisa01,G,6-4,205
metuch01,F-C,6-9,225
meyerlo01,C,6-10,257
micicva01,G,6-5,200
mickejo01,F,6-8,235
middlkh01,F-G,6-7,222
mihmch01,C-F,7-0,265
mikaer01,C,6-10,230
milesaa01,G,6-1,175
milescj01,G-F,6-6,220
milesda01,F,6-9,210
milicma01,G-F,6-6,235
milicda01,F-C,7-0,250
millean02,G,6-3,200
millean01,F,6-9,225
millebr01,C-F,6-11,244
millebr02,F-G,6-9,201
milleda01,F,6-6,225
millejo02,G,6-7,195
millele01,F,6-10,210
millema01,F,6-7,210
millemi01,F-G,6-8,218
milleol01,C,6-9,280
millequ01,F,6-9,210
millere01,G-F,6-7,185
whiteda01,F,6-7,220
millsch01,F,6-6,215
millspa02,G,6-2,180
millste01,F,6-10,230
millsel01,G-F,6-6,225
millspa01,F,6-7,257
miltosh01,G,6-5,205
minayju01,F,6-5,210
minerha01,G,6-5,210
mingya01,C,7-6,310
minorgr01,G-F,6-6,210
minotjo01,F,6-8,205
mirotni01,F,6-10,250
miskija01,G,6-2,175
mitchda01,G,6-2,205
mitchdo01,G,6-3,215
mitchsa01,F,6-6,210
mitchto03,F,6-6,216
mitchto02,F,6-8,235
mitrona01,G,6-3,218
moblecu01,G,6-4,190
mobleer01,C,6-11,235
mobleev01,F-C,6-11,215
mobleis01,F,6-8,240
mohamna01,C,6-10,221
moisoje01,F-C,6-10,235
mokespa01,C-F,7-0,250
mokokad01,G,6-4,190
moncrsi01,G,6-4,180
monekch01,F,6-6,222
moniase01,F,6-8,220
monkma01,G,6-3,200
monrogr01,C-F,6-11,265
monroro01,G,6-3,185
montelu01,G,6-7,185
montrer01,C,7-0,270
moodymo01,G,6-6,205
moonja01,F,6-8,205
moonxa01,G,6-2,165
moonema01,G,6-3,199
moorebe01,F,6-8,220
mooreet01,G-F,6-3,191
moorejo01,G,6-1,175
mooremi01,C-F,6-11,225
mooreta02,G,6-5,195
mooretr01,G-F,6-4,200
moorewe01,G-F,6-5,213
moranja01,G,6-2,174
moreler01,F-C,6-10,238
morgaju01,F,6-7,232
mornida01,C,6-10,235
morrich01,F,6-8,210
morrida01,G,6-4,190
morriis01,F,6-8,229
morrija01,G,6-5,185
morrima03,F,6-8,218
morrima02,F,6-9,245
morrimo01,G,6-2,183
morrira01,C,6-10,266
morrite01,F,6-9,221
morriad01,F,6-8,205
morrimi01,G,6-4,195
morroan01,G,6-5,210
mortodw01,F,6-7,195
mortojo01,G,6-3,180
motenla01,G,6-5,185
motiedo01,F-C,7-0,222
motlejo01,F,6-8,230
mottoha01,F-C,6-11,247
moultar01,F,6-11,249
mournal01,C-F,6-10,240
mozgoti01,C,7-1,275
mudiaem01,G,6-3,200
muhamsh01,F-G,6-6,223
muldemy01,G-F,6-3,184
mulleby01,C-F,7-0,275
mullich01,F-G,6-7,215
mundtto01,C,7-0,250
munfoxa02,G,6-2,180
munkch01,F,6-9,225
murdoer01,G,6-1,190
muresgh01,C,7-7,303
murkead01,G,6-5,200
murpher01,F,6-10,230
murphke01,G,6-5,185
murphto01,C-F,6-9,220
murphtr02,F,6-8,206
murphtr01,F-C,6-11,245
murrade01,G,6-5,180
murraja01,G,6-4,215
murrake02,F,6-8,215
murrakr01,F,6-8,220
murrala01,F,6-7,236
murraro01,G,6-4,190
murratr01,F,6-7,225
murryto01,G-F,6-5,195
musadz01,G-F,6-9,217
muscami01,F-C,6-10,240
mustaje01,F-C,6-10,238
mutomdi01,C,7-2,245
muursma01,F,6-9,235
myerspe01,G-F,6-6,180
mykhasv01,G-F,6-7,205
ndiayha01,C,7-0,235
ndiayma01,F,6-8,245
ndiayma02,C,7-0,255
ndongbo01,C,7-0,198
nachbbo01,F,6-9,221
naderab01,F,6-5,225
nailole01,F,6-9,238
najered01,F,6-8,240
nancela01,F-C,6-10,205
nancela02,F-C,6-8,245
nancepe01,F,6-11,230
napiesh01,G,6-0,175
nashst01,G,6-3,195
nathaho01,G,5-11,175
nattca01,F,6-6,220
navarju01,G,6-3,170
ndourma01,F,6-9,200
