Pk,Pos,Ht,Wt
bendedr01,F,7-0,225
bendejo01,F,6-11,202
benimje01,F,6-8,245
benjabe01,C,7-0,250
benjaco01,G,6-6,200
bennean01,F,6-8,245
benneel01,G,6-0,170
bennema01,F,6-6,235
benneto01,G,6-0,175
bennewi01,F,6-7,210
benoida01,F,6-8,220
bensoke02,C,6-11,240
bentibe01,F,6-9,235
bernaju01,F,6-7,210
bertada02,G,6-4,200
bertada01,F,6-10,225
besttr01,G,5-11,182
beverpa01,G,6-2,180
beysa01,F,6-7,215
beyty01,F,6-7,215
bhullsi01,C,7-5,360
bibbymi01,G,6-1,190
biedran01,C,6-11,240
billuch01,G,6-3,202
birchkh01,C-F,6-9,233
birdja01,G,6-6,198
birdla01,F,6-9,220
bitadgo01,C,6-11,250
bitimon01,F,6-6,215
biyombi01,C-F,6-8,255
bjeline01,F,6-10,234
blabuw01,C,7-1,252
blackan01,G,6-7,198
blackle01,F,6-9,205
blackta01,C-F,6-9,250
blackro01,G,6-6,190
blackal01,F,6-6,250
blackja01,G,6-0,190
blairde01,F-C,6-7,270
blakest01,G,6-3,172
blakean01,G,6-4,192
blalowi01,G,6-0,205
blankla01,G,6-4,190
blantri01,F,6-7,215
blatcan01,F,6-11,235
blaylmo01,G,6-0,180
bledser01,G,6-1,214
blevike01,F,6-4,200
blossja01,F,6-8,220
blounco01,F,6-9,240
blounma01,C,7-0,230
blueva01,G,6-4,200
bobbito01,G,6-4,190
boehebu01,G,6-6,205
boganke01,G-F,6-5,215
bogdabo01,G,6-5,220
bogdabo02,G-F,6-7,226
boguemu01,G,5-3,136
bogutan01,C,7-0,260
bohanet01,F,6-9,220
bolbo01,F-C,7-3,220
bolma01,C,7-7,200
boldejo01,F,6-8,220
boldema01,C,6-10,249
bolmale01,F,6-6,200
bolomjo01,F,6-9,235
bondwa01,G,6-5,200
bonejo01,G,6-2,180
boneyde01,G,6-4,185
bongais01,G,6-8,180
bonnean01,F,6-8,215
bonnema01,F,6-10,235
bookede01,G,6-6,206
bookeme01,G,6-2,185
booketr01,F,6-8,228
boonejo01,F-C,6-10,237
boothca01,C,6-11,230
boothke01,F,6-6,226
boozeca01,F-C,6-9,258
borchcu01,C,7-0,240
borrela01,F,6-8,220
boshch01,F-C,6-11,235
bostobr01,G-F,6-7,185
bouchch01,F,6-9,200
bouknja01,G,6-5,190
boumtru01,C,7-0,257
bouyeja01,G,6-2,180
bowdlca01,F,6-10,245
bowenbr02,F,6-6,190
bowenbr01,F,6-7,185
bowenry01,F,6-7,215
bowiean01,G-F,6-6,190
bowiesa01,C-F,7-1,235
bowmair01,G,6-5,195
bowmaky01,G,6-1,187
boycedo01,G,6-5,196
boykiea01,G,5-5,135
bozemce01,G,6-6,207
brackcr01,F,6-10,230
bradlav01,G,6-3,180
bradlmi01,F-C,6-10,245
bradlsh01,C,7-6,235
bradlto01,F-C,6-10,248
bradtma01,C-F,6-10,265
braggma01,F,6-8,230
braggto01,F,6-8,245
bramlaj01,C,6-10,227
brancad01,F-G,6-7,185
brandel01,F-C,6-9,275
brandte01,G,5-11,180
branhma01,G,6-4,180
brantja01,F,6-5,250
braunch01,G,6-6,218
brazdig01,F,6-6,221
breauti01,F,6-7,215
bremejr01,G,6-2,185
breuera01,C,7-3,230
breweco01,F-G,6-9,186
breweja01,G,6-4,184
brewero02,G-F,6-7,220
brezepr01,C,7-2,252
brickfr01,F-C,6-9,240
bridgmi01,F-G,6-6,209
bridgmi02,G-F,6-7,225
brimaam01,C,6-10,230
briscis01,G,6-3,215
brissos01,F,6-7,210
brockiz01,G,6-4,200
brockjo01,F,6-7,255
broekry01,F,6-6,215
