Year,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,NRtg,Rel NRtg,Playoffs,SW,SL,Rtg
2010,Lakers,57,25,0.695,1st of 5,4.78,92.8,0.1,108.8,1.2,103.7,-3.9,5.1,5.1,Championship,4,0,0.658
2011,Lakers,57,25,0.695,1st of 5,6.01,90.7,-1.4,111,3.7,104.3,-3,6.7,6.7,2nd Rnd. Exit,1,1,0.657
1996,Jazz,55,27,0.671,2nd of 7,6.25,90,-1.8,113.3,5.7,106.1,-1.5,7.2,7.2,Conf. Finals,2,1,0.655
1994,Rockets,58,24,0.707,1st of 6,4.19,95,-0.1,105.9,-0.4,101.4,-4.9,4.5,4.5,Championship,4,0,0.654
1992,Cavaliers,57,25,0.695,2nd of 7,5.34,95,-1.6,113.9,5.7,108.2,0,5.7,5.7,Conf. Finals,2,1,0.653
2011,Mavericks,57,25,0.695,2nd of 5,4.41,91.3,-0.8,109.7,2.4,105,-2.3,4.7,4.7,Championship,4,0,0.651
2021,Bucks,46,26,0.639,1st of 5,5.57,102.2,3,117.2,4.9,111.4,-0.9,5.8,5.8,Championship,4,0,0.650
2020,Celtics,48,24,0.667,2nd of 5,5.83,99.5,-0.8,113.3,2.7,107,-3.6,6.3,6.5,Conf. Finals,2,1,0.650
2022,Celtics,51,31,0.622,1st of 5,7.02,96.6,-1.6,114.4,2.4,106.9,-5.1,7.5,7.5,Finals,3,1,0.649
2008,Jazz,54,28,0.659,1st of 5,6.86,93.2,0.8,113.8,6.3,106.5,-1,7.3,7.3,2nd Rnd. Exit,1,1,0.649
2013,Clippers,56,26,0.683,1st of 5,6.43,91.1,-0.9,110.6,4.7,103.6,-2.3,7,7.0,1st Rnd. Exit,0,1,0.646
2021,Clippers,47,25,0.653,2nd of 5,6.02,96.9,-2.3,117.6,5.3,111.2,-1.1,6.4,6.4,Conf. Finals,2,1,0.644
1992,Jazz,55,27,0.671,1st of 6,5.7,95.5,-1.1,112.2,4,105.6,-2.6,6.6,6.6,Conf. Finals,2,1,0.644
