Year,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
2023,137,Davion Mitchell,PG,24,SAC,7,0,140,19,46,0.413,7,27,0.259,12,19,0.632,0.489,5,6,0.833,3,6,9,12,6,1,6,7,50,mitchda01
2023,138,Donovan Mitchell,SG,26,CLE,5,5,207,45,104,0.433,13,45,0.289,32,59,0.542,0.495,13,18,0.722,3,22,25,36,10,3,19,14,116,mitchdo01
2023,139,Evan Mobley,PF,21,CLE,5,5,188,22,48,0.458,0,1,0.000,22,47,0.468,0.458,5,8,0.625,15,35,50,10,3,6,12,13,49,mobleev01
2023,140,Malik Monk,SG,24,SAC,7,0,205,38,93,0.409,13,39,0.333,25,54,0.463,0.478,44,49,0.898,6,32,38,25,5,3,14,15,133,monkma01
2023,141,Moses Moody,SG,20,GSW,12,0,161,23,43,0.535,13,22,0.591,10,21,0.476,0.686,11,12,0.917,7,24,31,8,5,4,2,18,70,moodymo01
2023,142,Wendell Moore Jr.,SG,21,MIN,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,moorewe01
2023,143,Ja Morant,PG,23,MEM,5,5,187,45,106,0.425,13,31,0.419,32,75,0.427,0.486,20,26,0.769,8,26,34,35,9,1,17,12,123,moranja01
2023,144,Marcus Morris,PF,33,LAC,3,2,68,10,29,0.345,2,12,0.167,8,17,0.471,0.379,4,4,1.000,1,11,12,0,1,1,1,6,26,morrima03
2023,145,Dejounte Murray,SG,26,ATL,5,5,190,46,103,0.447,14,37,0.378,32,66,0.485,0.515,9,9,1.000,9,27,36,34,10,1,10,7,115,murrade01
2023,146,Jamal Murray,PG,25,DEN,20,20,799,194,410,0.473,59,149,0.396,135,261,0.517,0.545,75,81,0.926,15,98,113,142,30,5,50,41,522,murraja01
2023,147,Keegan Murray,SF,22,SAC,7,7,194,26,58,0.448,12,32,0.375,14,26,0.538,0.552,4,6,0.667,15,29,44,5,4,2,4,18,68,murrake02
2023,148,Mike Muscala,C,31,BOS,6,0,21,2,4,0.500,2,4,0.500,0,0,,0.750,3,4,0.750,3,1,4,1,0,0,1,1,9,muscami01
2023,149,Raul Neto,PG,30,CLE,2,0,7,0,1,0.000,0,1,0.000,0,0,,0.000,1,2,0.500,0,0,0,1,0,0,2,2,1,netora01
2023,150,Georges Niang,PF,29,PHI,11,0,157,18,36,0.500,12,26,0.462,6,10,0.600,0.667,0,0,,0,4,4,2,0,2,5,16,48,niangge01
2023,151,Zeke Nnaji,PF,22,DEN,5,0,12,2,4,0.500,1,3,0.333,1,1,1.000,0.625,0,0,,0,2,2,0,1,0,1,0,5,nnajize01
2023,152,Jaylen Nowell,SG,23,MIN,5,0,62,6,26,0.231,3,9,0.333,3,17,0.176,0.288,1,2,0.500,4,1,5,3,0,0,2,4,16,nowelja01
2023,153,Royce O'Neale,SF,29,BRK,4,0,118,7,29,0.241,4,22,0.182,3,7,0.429,0.310,2,2,1.000,4,13,17,14,5,1,4,11,20,onealro01
2023,154,Josh Okogie,SG,24,PHO,10,5,175,14,37,0.378,2,14,0.143,12,23,0.522,0.405,11,13,0.846,12,9,21,13,6,2,3,18,41,okogijo01
2023,155,Onyeka Okongwu,C,22,ATL,6,0,131,15,25,0.600,1,1,1.000,14,24,0.583,0.620,5,10,0.500,19,19,38,7,2,8,7,18,36,okongon01
2023,156,Isaac Okoro,SF,22,CLE,5,2,75,11,23,0.478,4,13,0.308,7,10,0.700,0.565,6,6,1.000,3,4,7,4,2,2,4,10,32,okorois01
2023,157,Victor Oladipo,SG,30,MIA,2,0,45,10,19,0.526,2,5,0.400,8,14,0.571,0.579,1,3,0.333,1,6,7,2,2,1,2,5,23,oladivi01
